Time,Temporada,V,D,E,GF,GT,Subiu,Situação,Permanecimento
Guarani,2003,7,8,4,31,30,0,F,5
Athletico-PR,2003,6,9,4,26,28,0,F,5
Flamengo,2003,6,7,6,25,31,0,F,5
Goias,2003,2,10,7,27,34,0,F,3
Internacional,2003,8,6,5,26,26,0,F,5
Criciuma,2003,9,7,3,23,23,1,F,0
Juventude,2003,3,10,6,18,36,0,F,5
Fortaleza,2003,5,10,4,20,27,1,R,0
Cruzeiro,2003,12,3,4,40,21,0,F,5
Vitoria,2003,7,7,5,24,30,0,F,5
Santos,2003,11,4,4,34,18,0,F,5
Corinthians,2003,6,6,7,34,26,0,F,5
Fluminense,2003,6,9,4,23,31,0,F,5
Atletico-MG,2003,8,4,7,33,25,0,F,5
Coritiba,2003,10,6,3,30,23,0,F,5
Gremio,2003,5,10,4,22,28,0,F,5
Bahia,2003,6,8,5,22,27,0,R,5
Figueirense,2003,7,6,6,25,23,0,F,1
Paysandu,2003,6,8,5,32,37,0,R,1
Ponte Preta,2003,6,6,7,27,27,0,R,5
Parana,2003,8,7,4,36,30,0,F,2
Sao Caetano,2003,6,4,9,18,18,0,F,2
Sao Paulo,2003,11,3,5,38,27,0,F,5
Vasco,2003,5,8,6,25,33,0,F,5
Botafogo-RJ,2004,3,8,8,23,31,1,F,0
Figueirense,2004,8,3,8,25,15,0,F,2
Sao Caetano,2004,8,6,5,22,15,0,F,3
Cruzeiro,2004,8,8,3,25,28,0,F,5
Palmeiras,2004,8,4,7,30,14,1,F,0
Gremio,2004,5,8,6,29,28,0,R,5
Ponte Preta,2004,10,7,2,18,25,0,F,0
Parana,2004,5,9,5,17,31,0,F,3
Coritiba,2004,5,6,8,20,21,0,F,5
Vasco,2004,7,7,5,31,25,0,F,5
Paysandu,2004,4,9,6,24,32,0,F,0
Sao Paulo,2004,10,5,4,25,19,0,F,5
Flamengo,2004,3,8,8,17,24,0,F,5
Goias,2004,8,5,6,35,33,0,F,4
Juventude,2004,9,7,3,25,24,0,F,5
Internacional,2004,8,8,3,26,23,0,F,5
Atletico-MG,2004,4,6,9,24,27,0,F,5
Fluminense,2004,7,6,6,23,25,0,F,5
Corinthians,2004,6,7,6,18,30,0,F,5
Guarani,2004,5,10,4,16,25,0,R,5
Athletico-PR,2004,9,7,3,34,25,0,F,5
Vitoria,2004,7,8,4,33,31,0,R,5
Criciuma,2004,7,7,5,32,32,0,R,1
Santos,2004,11,6,2,41,30,0,F,5
Parana,2005,9,4,6,30,19,0,F,4
Atletico-MG,2005,3,12,4,25,32,0,R,5
Sao Caetano,2005,9,6,4,27,24,0,F,4
Flamengo,2005,5,9,5,22,28,0,F,5
Internacional,2005,9,6,4,29,25,0,F,5
Fortaleza,2005,8,8,3,22,25,1,F,0
Fluminense,2005,10,5,4,30,21,0,F,5
Corinthians,2005,12,5,2,40,33,0,F,5
Athletico-PR,2005,6,9,4,28,30,0,F,5
Brasiliense,2005,5,8,6,22,29,1,R,0
Santos,2005,8,6,5,33,26,0,F,5
Goias,2005,10,6,3,28,22,0,F,5
Vasco,2005,6,9,4,35,46,0,F,5
Palmeiras,2005,8,7,4,33,28,0,F,1
Ponte Preta,2005,10,6,3,31,25,0,F,1
Sao Paulo,2005,4,9,6,25,30,0,F,5
Cruzeiro,2005,7,5,7,37,33,0,F,5
Juventude,2005,7,6,6,30,30,0,F,5
Figueirense,2005,3,8,8,22,33,0,F,3
Botafogo-RJ,2005,9,8,2,27,26,0,F,1
Coritiba,2005,8,7,4,27,26,0,R,5
Paysandu,2005,4,11,4,27,39,0,R,1
Juventude,2006,6,8,5,20,22,0,F,5
Vasco,2006,8,6,5,26,27,0,F,5
Sao Paulo,2006,11,3,5,32,21,0,F,5
Gremio,2006,8,6,5,30,26,1,F,0
Botafogo-RJ,2006,4,6,9,21,23,0,F,2
Sao Caetano,2006,6,6,7,23,23,0,R,5
Palmeiras,2006,7,8,4,29,32,0,F,2
Santa Cruz,2006,4,9,6,23,33,1,R,0
Athletico-PR,2006,6,9,4,25,24,0,F,5
Goias,2006,5,8,6,22,26,0,F,5
Corinthians,2006,6,11,2,20,28,0,F,5
Fluminense,2006,8,6,5,30,30,0,F,5
Figueirense,2006,7,6,6,29,25,0,F,4
Internacional,2006,9,3,7,27,21,0,F,5
Santos,2006,9,5,5,27,17,0,F,5
Ponte Preta,2006,6,9,4,27,39,0,R,2
Flamengo,2006,6,8,5,17,21,0,F,5
Cruzeiro,2006,7,6,6,29,21,0,F,5
Parana,2006,9,6,4,35,25,0,F,5
Fortaleza,2006,4,7,8,20,28,0,R,1
Figueirense,2007,6,7,6,28,32,0,F,5
Sao Paulo,2007,12,4,3,24,8,0,F,5
Fluminense,2007,6,5,8,21,15,0,F,5
Flamengo,2007,8,6,5,31,30,0,F,5
Internacional,2007,8,8,3,26,25,0,F,5
Parana,2007,6,7,6,21,23,0,R,5
Atletico-MG,2007,7,8,4,29,28,1,F,0
Corinthians,2007,6,5,8,22,24,0,R,5
America-RN,2007,3,15,1,16,42,1,R,0
Sport,2007,8,8,3,33,34,1,F,0
Juventude,2007,4,11,4,19,35,0,R,5
Athletico-PR,2007,5,7,7,29,28,0,F,5
Santos,2007,8,8,3,27,26,0,F,5
Cruzeiro,2007,10,7,2,41,36,0,F,5
Goias,2007,9,8,2,28,25,0,F,5
Palmeiras,2007,8,5,6,25,23,0,F,3
Botafogo-RJ,2007,9,4,6,38,27,0,F,3
Gremio,2007,8,7,4,18,20,0,F,1
Nautico,2007,5,9,5,28,34,1,F,0
Vasco,2007,9,6,4,34,23,0,F,5
Nautico,2008,6,10,3,20,29,0,F,1
Sao Paulo,2008,9,4,6,33,21,0,F,5
Vitoria,2008,10,7,2,30,21,1,F,0
Coritiba,2008,9,5,5,29,19,1,F,0
Internacional,2008,7,7,5,21,20,0,F,5
Botafogo-RJ,2008,9,6,4,29,19,0,F,4
Ipatinga,2008,4,11,4,20,34,1,R,0
Portuguesa,2008,6,9,4,26,39,1,R,0
Atletico-MG,2008,6,7,6,25,37,0,F,1
Flamengo,2008,9,6,4,30,19,0,F,5
Cruzeiro,2008,11,5,3,32,19,0,F,5
Sport,2008,8,8,3,21,24,0,F,1
Vasco,2008,5,10,4,30,39,0,R,5
