Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Flamengo,2016,10,5,4,23,19,0,F
Palmeiras,2016,11,5,3,35,20,0,F
Atletico-MG,2016,10,4,5,33,25,0,F
Coritiba,2016,5,8,6,21,26,0,F
Santa Cruz,2016,5,11,3,20,26,1,R
Botafogo-RJ,2016,6,8,5,25,30,1,F
America-MG,2016,3,12,4,12,30,1,R
Figueirense,2016,4,6,9,18,23,0,R
Corinthians,2016,10,5,4,28,15,0,F
Internacional,2016,6,9,4,21,23,0,R
Ponte Preta,2016,8,8,3,23,31,0,F
Fluminense,2016,7,5,7,23,20,0,F
Cruzeiro,2016,5,10,4,24,32,0,F
Santos,2016,10,6,3,32,17,0,F
Athletico-PR,2016,9,7,3,20,18,0,F
Vitoria,2016,5,7,7,24,28,1,F
Chapecoense,2016,5,5,9,27,33,0,F
Sao Paulo,2016,7,7,5,21,20,0,F
Gremio,2016,9,5,5,27,21,0,F
Sport,2016,6,8,5,29,29,0,F
